Date,Actual_AQI,P10,P50,P90
2019-10-24,331.0,257.80829062584104,316.7187563208378,369.1584894496496
2019-10-25,315.0,266.6783805795656,302.3914406151044,397.71644109589937
2019-10-26,354.0,252.8010142564991,266.77167020952277,343.22831198008265
2019-10-27,417.0,300.25644002972376,321.935735411308,384.66391278512214
2019-10-28,419.0,297.41512578248245,339.7792874771416,374.8555179432003
2019-10-29,452.0,306.93512092820345,393.7627608894728,446.27802335636846
2019-10-30,460.0,330.3467693812533,419.0421834832851,476.7352405412654
2019-10-31,591.0,276.13807139638357,425.9632555954632,471.5458530138044
2019-11-01,473.0,297.350955329007,422.9449804524572,518.2287211516317
2019-11-02,659.0,346.4456797335965,458.4535540307035,601.9382289905494
2019-11-03,532.0,343.13968024285305,430.1549464642586,479.29487052037217
2019-11-04,385.0,362.0687047209917,440.1328657950119,565.386395860908
2019-11-05,265.0,343.08628910384306,391.6914271989987,477.8625484148586
2019-11-06,296.0,323.47396931492005,365.25510704364666,420.8704387549773
2019-11-07,346.0,266.27745788259045,289.8546449526308,396.509660971476
2019-11-08,321.0,318.7791555422442,341.03251863669016,429.1587192120342
2019-11-09,339.0,309.6124018251768,310.22083035161154,395.42665732875275
2019-11-10,376.0,304.0067425223956,356.82105823984347,396.0662874852793
2019-11-11,475.0,328.26117561448734,377.1239249544633,384.32562805106335
2019-11-12,532.0,324.1503678237339,383.47272033869024,437.6554197583533
2019-11-13,537.0,314.6991051898373,438.0902027961061,613.9288722327742
2019-11-14,595.0,317.5793387796034,468.56175655862324,617.1284693883482
2019-11-15,438.0,346.3318872349902,451.10803718342333,562.6674289000429
2019-11-16,273.0,361.6487817321486,448.29531927496765,593.5688654135363
2019-11-17,245.0,298.27446697923443,377.22625317292534,456.64843405700645
2019-11-18,251.0,257.639702584301,285.95304678276835,400.75160273071026
2019-11-19,315.0,273.4821075161691,290.3134500192514,375.2302207005618
2019-11-20,375.0,243.1471894201513,340.46845065672983,393.45825267577476
2019-11-21,377.0,331.4350760169721,387.38989364281787,458.2661801908663
2019-11-22,334.0,352.7168287902136,381.92141592387213,424.10155259863745
2019-11-23,264.0,318.4780578578992,379.0885141577165,431.8920827244695
2019-11-24,269.0,269.3857130474192,318.0395622498949,377.91582480349643
2019-11-25,284.0,258.3903545301792,312.0049174919651,349.84632983549085
2019-11-26,166.0,281.40757574810067,325.65923892247594,377.9246110958882
2019-11-27,106.0,275.5419406365296,329.3760969735168,369.0162880283529
2019-11-28,89.0,212.5882985763216,282.69712553226503,323.5286060389646
2019-11-29,175.0,122.25681333955293,181.1050799159293,228.7682710171261
2019-11-30,257.0,134.96574080222493,177.93833914893304,238.27276294419556
2019-12-01,299.0,198.6521200514755,231.0196560792452,283.700361833092
2019-12-02,302.0,222.90093097287573,276.0964387357361,317.5902251799664
2019-12-03,313.0,236.93275175261334,275.2691015784936,366.21650714113883
2019-12-04,389.0,214.15400462815182,274.5637817810913,334.2828968282098
2019-12-05,423.0,262.67688287452313,301.8106777806941,342.1551326960371
2019-12-06,382.0,300.4282356835333,327.6446184613595,420.049178633187
2019-12-07,404.0,305.105130766268,410.57226428042355,475.4026337648101
2019-12-08,371.0,307.63608041752167,400.74416928434204,446.9017587119359
2019-12-09,377.0,297.96138766975156,402.66199348621683,440.5692864116433
2019-12-10,430.0,318.9924395603551,382.0464046100285,441.8615297654516
2019-12-11,471.0,311.07269011140204,405.87142150396875,466.4472097191962
2019-12-12,322.0,354.8196165063779,414.5537527222188,438.0437256770662
2019-12-13,179.0,318.8116706247406,415.6143381806312,446.7397719533961
2019-12-14,205.0,233.48452894659948,316.62661778227226,394.53095364975684
2019-12-15,202.0,239.6772240482833,271.6428313565464,370.8596861226932
2019-12-16,178.0,248.53905551777504,313.6259988366845,334.13799389713904
2019-12-17,273.0,235.8333791709171,297.42549292087347,342.7116512704553
2019-12-18,354.0,227.14848646088964,289.0632495294121,337.0029514799161
2019-12-19,452.0,304.842976991235,311.8294919615838,385.42734829956527
2019-12-20,441.0,293.32944175233644,308.9340981293877,431.0916496162883
2019-12-21,351.0,278.64844727825357,339.54134166531185,494.9129978217375
2019-12-22,321.0,286.82073663903134,347.18973855731286,456.3666324258023
2019-12-23,376.0,300.5398546450099,321.2911262678358,372.9946458865981
2019-12-24,384.0,293.47711454693723,342.8479590401225,388.70334382748393
2019-12-25,340.0,325.4192939966759,402.74550119827876,453.0696806507319
2019-12-26,372.0,302.52697944824797,376.8545520437824,417.68541649245026
2019-12-27,425.0,344.3783092581081,392.3076119229918,424.7325263919251
2019-12-28,455.0,339.0593440261474,391.3181395786295,429.1425718892427
2019-12-29,506.0,354.66771702951746,416.00584331796676,461.43403771889956
2019-12-30,417.0,285.6627000069814,405.1711176304877,507.1084118889425
2019-12-31,492.0,307.893588839614,416.7116278836885,480.6295189711981
2020-01-01,485.0,267.88244390167114,364.64529882865486,405.6462462703519
2020-01-02,426.0,276.07336495498413,418.93816466276957,540.0646123738202
2020-01-03,366.0,325.71225434720014,429.8375208749658,489.0147103404174
2020-01-04,354.0,349.57847224265805,370.9641693730753,465.88644433325464
2020-01-05,335.0,323.5820024067659,339.62465774199336,417.85083774487936
2020-01-06,285.0,301.49549619332856,326.8507176818348,370.7937921329762
2020-01-07,281.0,322.3660322426664,351.72948072607073,380.20623107439246
2020-01-08,231.0,271.3918501516152,325.9135190486261,374.8227324069367
2020-01-09,255.0,272.0759756048341,323.6302538357163,329.9758370063523
2020-01-10,309.0,217.76642823500978,261.3503288455795,299.2703421777755
2020-01-11,352.0,273.04942881417315,319.7217908967353,341.7595832862299
2020-01-12,381.0,278.3595008380562,312.17583560003044,372.9217777781887
2020-01-13,314.0,306.2901695252505,343.94922685064773,406.5913266132834
2020-01-14,241.0,296.0239069729817,325.4658859260174,425.4792987413196
2020-01-15,286.0,237.92635411278306,291.80951888465603,324.6306645543074
2020-01-16,287.0,230.30621595271037,283.5852978632103,335.740206221655
2020-01-17,262.0,273.06795532668866,308.28344563736607,358.0279133955984
2020-01-18,290.0,236.5404110660791,263.0630251633325,303.03005207460484
2020-01-19,282.0,264.6995624426641,315.35461776491695,325.96373712866585
2020-01-20,359.0,264.3193428267109,324.5447328038944,328.1000896515935
2020-01-21,378.0,272.10462175020945,321.9244299772487,378.86053673006705
2020-01-22,273.0,286.4532428317352,328.45899742063256,393.35889389836836
2020-01-23,155.0,285.8667792697268,296.9332198286013,365.73403969108233
2020-01-24,251.0,223.47151575524555,230.7872977205748,307.3748952437575
2020-01-25,349.0,185.87118319865408,264.72874639663604,279.86339270532426
2020-01-26,365.0,251.28589989127371,310.60405119220223,377.9977834116465
2020-01-27,302.0,282.9977101112466,320.513405662544,366.8318285070192
2020-01-28,218.0,298.2036801903221,341.90102833643454,413.88769052627714
2020-01-29,195.0,237.23494918960736,284.64974297946026,304.19270772278304
2020-01-30,203.0,202.73761619562987,252.5862296702882,270.96800232773023
2020-01-31,244.0,202.7337914625893,271.2961731963908,289.8616063199879
2020-02-01,254.0,186.15491670053072,269.7717217470468,267.65994901151726
2020-02-02,297.0,215.61088372359853,265.9286545879611,267.96795012240136
2020-02-03,336.0,234.62914758271185,294.98231188395175,296.17241385873433
2020-02-04,344.0,228.31377309356486,309.2405945913565,368.8292578976495
2020-02-05,277.0,236.8334004263408,319.8067942254913,368.6065598361925
2020-02-06,307.0,276.6888910238465,306.5352936163489,362.8005920080369
2020-02-07,315.0,240.34413441149377,308.21254219751427,335.9957443125391
2020-02-08,310.0,269.58241530043745,294.18006650348303,352.3139885723052
2020-02-09,328.0,254.3656323336666,302.9873723454852,354.88406390516604
2020-02-10,347.0,294.13626358821796,330.4026556628019,378.7788309486222
2020-02-11,343.0,264.37045879660616,306.7061480469272,364.5350572260873
2020-02-12,279.0,267.810062071603,310.6211493050597,366.92793941309765
2020-02-13,186.0,280.1009235347173,308.6452532387513,371.9671560416178
2020-02-14,174.0,221.43057974902294,278.2751273401322,320.2543370304371
2020-02-15,254.0,207.45937894923196,222.87195694366136,294.61215377297094
2020-02-16,323.0,199.17907674653551,271.10487816047475,317.7566604921265
2020-02-17,292.0,243.41324635271343,344.4165398573281,351.21362415832425
2020-02-18,300.0,253.91414632749542,311.42113129525274,357.26844097135216
2020-02-19,253.0,237.89836134029807,317.60593926184987,336.2917378189608
2020-02-20,170.0,246.28682099241274,286.6846410538376,342.1913698723421
2020-02-21,104.0,191.4713961021496,281.5900310484881,317.58015988211184
2020-02-22,221.0,152.2864709254938,198.37876346156008,211.343201531405
2020-02-23,169.0,135.2038375224182,205.63142473292143,246.2750743693465
2020-02-24,244.0,168.94780957566508,240.06505134008887,274.9672385142345
2020-02-25,303.0,163.92912266254683,208.8950683549887,262.34770862107797
2020-02-26,270.0,179.30915150642818,272.0247210346995,316.4155930051687
2020-02-27,214.0,189.6155000943389,252.63792376313376,325.98058490871244
2020-02-28,144.0,177.9089433945031,217.95979458133849,280.84894826435067
2020-02-29,105.0,170.17902155204362,175.45130360220148,240.11770989191476
2020-03-01,192.0,147.75072459773907,180.719105670754,204.5835795680836
2020-03-02,226.0,122.61930752632868,170.4613111661926,196.4693260549747
2020-03-03,200.0,156.2147810294053,231.67371849317908,282.2577238080449
2020-03-04,112.0,166.66498850648097,215.15592924362883,280.4741981374686
2020-03-05,82.0,156.05429880868508,227.46565641611494,285.0494847626424
2020-03-06,77.0,118.99883383431913,136.9481657790364,155.93746644862756
2020-03-07,156.0,96.12076587519616,130.93896041444708,146.25122960174895
2020-03-08,138.0,78.938596024924,120.84690601429311,152.93286902354558
2020-03-09,186.0,153.29687716084888,203.2340608144072,247.50351059725617
2020-03-10,128.0,115.65917527843864,157.99838470597808,219.3085039034299
2020-03-11,125.0,128.37556092379523,206.98469760444016,285.956845893543
2020-03-12,170.0,99.60357081615746,133.74963947476724,161.92766123929744
2020-03-13,131.0,120.92429739772832,173.0592102345204,209.4341936942014
2020-03-14,124.0,114.49695908452782,162.83297386680024,216.08902203730833
2020-03-15,148.0,116.9826311355804,134.42506518536462,150.6190542695738
2020-03-16,164.0,120.88002254670009,159.7986864689931,204.84168948557576
2020-03-17,162.0,124.84383397995708,202.88636926359922,253.2130347979512
2020-03-18,191.0,115.02058672031157,175.5219024981153,220.58121225338587
2020-03-19,209.0,119.71295109999727,161.2958871760738,224.07000876077092
2020-03-20,205.0,183.35475153437136,230.41255168016684,277.0960652003232
2020-03-21,198.0,183.03254379584322,216.79250753262008,251.2375252920059
2020-03-22,127.0,176.62977820878547,180.96513640907932,236.7486015903356
2020-03-23,124.0,164.21951202727416,196.3354769650445,268.82511172818164
2020-03-24,92.0,134.17484491521813,183.13155649307947,226.05508231534432
2020-03-25,93.0,132.22993950102926,180.24944304679062,232.02528497811397
2020-03-26,76.0,104.21529889450952,144.44207102034323,180.0284852423131
2020-03-27,51.0,102.39979717265683,128.7962985220737,150.14072361178114
2020-03-28,64.0,74.64839707590791,105.23296016050618,144.55733119707693
2020-03-29,74.0,76.20322420765117,102.78025784760156,124.08540855329343
2020-03-30,81.0,70.81829291841375,103.3426573515262,123.64940672231404
2020-03-31,80.0,73.26237122080184,107.11130460481267,130.5105228681457
2020-04-01,78.0,77.80996052126837,100.51746568709453,127.8790455782202
2020-04-02,84.0,75.39096875540965,100.77646853289838,125.37460748398476
2020-04-03,90.0,71.39972296947325,101.3475644444033,118.86709849415256
2020-04-04,103.0,70.93050756535092,100.03615167587624,118.71632503549783
2020-04-05,134.0,82.49641041442399,98.67508772632699,131.0608720094438
2020-04-06,100.0,110.28585228971563,113.9521452814681,141.17428824462178
2020-04-07,91.0,116.32174094688234,139.4061691785571,155.96874480123347
2020-04-08,89.0,94.26180753089977,117.47973583393502,131.92128856641963
2020-04-09,111.0,80.87026371014085,97.05120170985407,118.57968643197201
2020-04-10,126.0,78.1582367170139,104.61478544427902,125.50059814066222
2020-04-11,102.0,99.73927260611691,125.4864893850747,153.71617137170608
2020-04-12,119.0,105.69675395838172,129.8399089140939,146.9902407969332
2020-04-13,134.0,94.44562998420693,107.18589247956898,127.94618480949644
2020-04-14,152.0,121.25082445302696,134.73748373542503,159.7070260999406
2020-04-15,172.0,118.9228105550919,167.4652586214555,196.02583824614223
2020-04-16,123.0,109.0430980470807,189.6162092089116,217.82325938638817
2020-04-17,102.0,108.97313441520927,154.43890702865144,237.02883215010903
2020-04-18,95.0,89.90545457643888,112.02811111888961,134.647650813416
2020-04-19,115.0,86.78501397156666,113.47351501384486,163.68776145659353
2020-04-20,102.0,90.57563351509026,100.3349161605074,144.77882893426576
2020-04-21,122.0,105.21666707919687,132.30540112856812,196.347881015387
2020-04-22,129.0,97.5114354510794,108.06126413468522,130.90304505895017
2020-04-23,143.0,117.09777149608549,153.1081731491289,175.28143615382692
2020-04-24,121.0,106.63129036048122,127.0878131591378,164.83498632172038
2020-04-25,119.0,110.92909092047309,163.37453443830765,194.2497355111282
2020-04-26,98.0,93.0898400614549,117.55628635353186,119.41323090298006
2020-04-27,105.0,105.6615913472949,137.20528906291716,146.00487937989962
2020-04-28,123.0,94.37153800947371,101.80945741378098,118.88308913703511
2020-04-29,128.0,96.29187099402755,108.34589188420873,130.57366131686237
2020-04-30,140.0,101.77340175525754,129.0897624917006,168.74013396497125
2020-05-01,127.0,96.1412069608211,116.7440640113623,144.11610525461697
2020-05-02,110.0,100.97668603583057,141.4965715486513,176.9548154928216
2020-05-03,92.0,92.87949446250838,117.59478826443184,131.5787452985122
2020-05-04,117.0,96.35282635973991,107.37253128998587,120.95993807508034
2020-05-05,139.0,84.91524061206962,93.2900682757106,118.48311604952666
2020-05-06,140.0,96.07042432536598,125.54273533891946,159.52875847220272
2020-05-07,138.0,104.41015307415671,151.60369112959185,189.56950254539922
2020-05-08,142.0,91.91524884432448,109.60290103350322,138.85986390704676
2020-05-09,127.0,94.63403911093829,127.55325528205005,158.09542102278078
2020-05-10,113.0,102.42487227324897,150.78616789538574,161.73660539090332
2020-05-11,122.0,105.64624259109962,154.54540172210085,186.3610874283516
2020-05-12,132.0,96.35398073444668,113.52863898000793,157.346375460846
2020-05-13,154.0,99.05561090087302,116.99955366189725,159.52193640006593
2020-05-14,125.0,110.23731879433444,149.04287819910016,204.49417319865472
2020-05-15,175.0,110.3939884517457,160.64782857787887,200.73278823334414
2020-05-16,202.0,95.11597089659179,116.30707473960477,169.5871100392943
2020-05-17,222.0,121.77521632649162,170.17262011039895,238.29530619583252
2020-05-18,238.0,130.12255092116317,176.9840822054397,237.91364875881436
2020-05-19,196.0,153.1712332436246,186.35572396124488,265.1276787093148
2020-05-20,149.0,181.09510470589157,256.45572577775636,251.01041088776995
2020-05-21,199.0,166.74251694884092,188.58119413359898,244.65054915114396
2020-05-22,202.0,123.42701910423915,158.5500910934741,219.31442369420353
2020-05-23,174.0,175.26662001827788,220.8143567235991,265.2391894143043
2020-05-24,157.0,158.94545828570338,206.24018225049778,241.32759264651466
2020-05-25,153.0,137.07990980199568,202.4640953619843,250.42178483579428
2020-05-26,156.0,146.69273037767027,165.13588248020832,235.83350431020884
2020-05-27,174.0,155.07922943700626,200.93368278704483,245.76493051800557
2020-05-28,129.0,135.86868267325764,172.24270119866642,242.89709491187998
2020-05-29,84.0,134.3041053527688,216.33474014315678,291.8109842799169
2020-05-30,80.0,111.84929276159419,130.85618972421796,152.38799284771136
2020-05-31,100.0,77.99640450692225,99.76249471792725,134.859298625026
2020-06-01,123.0,75.91982818619351,107.60087368628565,152.05808456212156
2020-06-02,123.0,97.87378824339619,109.91031839149561,142.251845806094
2020-06-03,144.0,108.06983599282552,125.80204396714142,175.41629221493733
2020-06-04,126.0,105.69310154090815,138.6589363960189,177.02554613116615
2020-06-05,102.0,100.9877355934124,151.88800751237042,185.86824914960476
2020-06-06,104.0,94.33341802872371,126.82823301015657,132.15064282809226
2020-06-07,112.0,88.438258302828,106.18329088047034,119.51782796997747
2020-06-08,138.0,99.86057377148171,112.02598560665668,132.48284793488915
2020-06-09,154.0,94.35526629394754,109.9880681739417,172.53176767692014
2020-06-10,142.0,106.2154566901481,136.7448592176387,178.00834202143008
2020-06-11,152.0,115.7754303840945,157.63626348959332,187.7973710666262
2020-06-12,132.0,102.53907417467121,138.57103641131488,172.75268860248448
2020-06-13,147.0,114.40225779696654,155.68430168897928,207.42129503257243
